City,Restaurant,Price,Avg ratings,Total ratings,Delivery time
Pune,Chai - The Way You Like It,250,4,50,73
Pune,Mainland China,850,4.4,100,53
Mumbai,Theobroma,800,4.7,500,40
Delhi,Deli 63,400,2.9,80,60
Bangalore,Food Paradise,326,3.9,100,53
Bangalore,Corner House Ice Cream,250,4.7,1000,31
Kolkata,Bachan'S Dhaba,250,4.3,5000,61
Kolkata,Mainland China,850,4.5,100,64
Hyderabad,Chicha'S,200,3.8,500,40
Pune,Le Plaisir,1000,4.5,500,40
Pune,Cafe Goodluck,200,4.4,100,35
Pune,George Restaurant,600,4.3,1000,33
Pune,Marzorin,200,4.4,1000,33
Mumbai,Monica Chinese Fast Food,350,3.9,50,57
Hyderabad,Kinara Grand,750,3.9,1000,58
Bangalore,Dal Roti Sabji,150,4.5,100,54
Bangalore,Mainland China,850,4.3,100,40
Bangalore,Shezan,600,4.3,100,44
Bangalore,Dolci Desserts,600,4.5,50,40
Pune,Subway,350,4.4,100,35
Mumbai,Smoke House Deli,600,4.4,100,48
Pune,Madinah,200,4,500,34
Kolkata,First Innings - The Stadel Hotel,800,4.5,20,69
Hyderabad,Meghacity,500,4.4,1000,32
Pune,Salad Grills,300,4.3,100,63
Bangalore,Oh! Calcutta,800,4.3,100,36
Bangalore,Polar Bear,300,4.5,100,38
Bangalore,Miller'S 46,1100,4.4,100,47
Bangalore,Carnival De Goa,500,4.1,100,48
Kolkata,The Rouge,400,4.4,50,51
Kolkata,The Darjeeling,500,4,100,73
Delhi,London Grill Co,500,4,1000,50
Mumbai,Mughal Fusions,300,3.9,100,38
Mumbai,Mughal Darbaar,300,3.7,500,40
Mumbai,Naaz Hotel,750,4.1,500,39
Chennai,Amaravathi,650,4.2,100,53
Chennai,Eatalica,500,4.5,100,69
Bangalore,Kudla Beach,400,3.9,20,59
Bangalore,Rolls Kitchen,200,4.4,500,35
Hyderabad,Zyqa Restaurant,200,4,500,55
Hyderabad,Sahara Bakers,200,3.8,500,34
Mumbai,Mughal Dhaba,500,4,20,36
Pune,Spring Onion,500,4.3,100,39
Hyderabad,Tibbs Frankie,150,4.3,100,29
Kolkata,Petuk,350,4,20,70
Bangalore,Shanthi Sagar Grand,200,4,100,57
Hyderabad,Agrawala Sweets,250,4.3,100,27
Mumbai,Eagle Boys Pizza,600,3.7,100,56
Bangalore,Freshmenu,250,4.1,1000,38
Hyderabad,Angaara,250,3.9,100,33
Mumbai,Golden Wave Restaurant,1000,2.9,80,56
Kolkata,Afraa Deli-Sector 1,700,4.3,50,67
Kolkata, Conclave At Afraa,850,3.9,50,75
Bangalore,Shiro,1400,4.4,100,44
Hyderabad,Paradise Biryani,400,3.9,100,48
Pune,Delhi Kitchen,300,4,100,69
Delhi,Sethi Restaurant,300,4,1000,63
Kolkata,Mama Mia! - Italian Ice Creams,200,4.7,100,34
Kolkata,Buddha Bites-Jessore Road,300,3.7,1000,74
Chennai,The Kati Roll Shop,250,4.3,1000,52
Mumbai,Asia Kitchen By Mainland China,850,4.3,100,55
Chennai,Benjarong,1500,4.6,100,68
Chennai,Kaaraikudi,500,3.6,100,57
Delhi,Wok In The Clouds,1500,4.5,50,72
Kolkata,Crossroad Crystal - Golpark,350,4.1,50,71
Mumbai,99 East,300,2.9,80,57
Pune,Saffron Multicuisine,400,4.5,20,68
Kolkata,Second House,500,2.9,80,84
Kolkata,Santa'S Fantasea,1200,4.3,100,80
Hyderabad,Akson Restaurant,250,4.3,1000,53
Chennai,Ciclo Cafe,1100,4.4,1000,71
Delhi,Chawla Kitchen,500,3.8,500,48
Hyderabad,Taste Of India,600,4.2,20,67
Hyderabad,Crunchy'S,150,3.8,20,72
Bangalore,Paris Panini - French Street Food,450,4.4,1000,57
Chennai,Ashvita Bistro,500,4.1,20,69
Chennai,Gogo Momo,350,4.2,50,65
Delhi,Blue Water Grille,600,3.9,100,68
Kolkata,Sheerazi,350,4.3,50,68
Chennai,Dhabba Express,500,4,100,62
Kolkata,Royal Indian Hotel,450,4.3,1000,36
Kolkata,Urbans Cafe,350,4.2,20,46
Hyderabad,Friends Shawarma,200,4.3,100,61
Kolkata,New Paul Dhaba,400,3.9,1000,42
Kolkata,Lazzat,300,4.1,100,50
Kolkata,Caafe 360 Degree- Kakurgachi,500,3.9,100,59
Bangalore,Beijing Bites,450,4.2,500,33
Chennai,Ox & Tomato,500,4.4,50,55
Chennai,Fresh Baked Goodness,250,4.7,500,63
Kolkata,Subway,350,4.3,500,49
Chennai,Absolute Thai,1400,4.4,100,71
Hyderabad,Triple A Bakery,100,3.9,100,70
Mumbai,Forks And Spoons (Gourmet Chinese & Thai),200,4.1,100,48
Mumbai,Subway,350,4.4,500,29
Chennai,Sandy'S,700,4.3,500,54
Chennai,Mexicano Griller,800,3.9,20,64
Bangalore,Rolls On Wheels,300,4.3,100,38
Chennai,Tuscana Pizzeria,1200,4.1,50,60
Chennai,Mamagoto,900,4.3,100,55
Chennai,Eatza Pizza,600,4.1,20,58
Kolkata,Veg Dhaba,100,4,100,58
Kolkata,Glace Patisserie,250,4.4,100,68
Chennai,Bayleaf Otg (On The Go),250,4.4,100,55
Hyderabad,Food Zone 2,300,4,500,46
Hyderabad,Rayalaseema Ruchulu,450,4,500,39
Mumbai,Food Rush,550,4,500,52
Chennai,King Sandwich,200,4.3,100,71
Chennai,Sachin Ka Dhabba,500,4.1,50,69
Pune,Big Daddy'S,250,4.1,1000,70
Kolkata,Maa Trinayani,200,4.2,100,88
Bangalore,Smoor,300,4.3,100,49
Pune,Cafe Eastwood,700,4.4,50,58
Pune,Jazz Pizza,300,3.9,20,72
Chennai,10 Downing Street,1000,4,20,77
Mumbai,The Bar Stock Exchange,1300,2.9,80,59
Delhi,Mikky Peshawari Chicken & Fish (Since 1998),250,4,100,53
Delhi,Shake Square,250,3.9,50,50
Delhi,Shut Up & Eat,250,4.1,100,27
Kolkata,Koshe Kosha-Hatibagan,500,4.4,100,43
Kolkata,Bikers Cafe,1100,4.2,100,65
Kolkata,Legacy Of China,400,4.1,100,80
Kolkata,Royal Jade,450,4.5,500,76
Chennai,The Marina,1500,4.4,100,49
Mumbai,Pizza Hut,300,3.8,500,33
Chennai,Hotel Pandia'S,400,4.2,1000,77
Bangalore,Fresh Pressery Cafe,1000,4.2,100,33
Chennai,Bombay Brasserie,900,4.3,100,48
Chennai,Kaidi Kitchen,900,4.5,100,63
Kolkata,Chopstick - Ballygunge,400,3.7,100,64
Kolkata,Chennai Xpress,300,4.1,500,74
Hyderabad,Kritunga Restaurant,500,4,1000,52
Hyderabad,Bakers Street,250,4.2,500,49
Bangalore,Delicacy,400,4.2,500,56
Chennai,Coco Jaunt 1728,500,4.3,50,68
Chennai,Parfait Cakes N Bakes,300,3.5,20,49
Chennai,Wangs Kitchen,350,4.1,100,46
Delhi,Burger King,350,4.3,1000,35
Bangalore,Hotel Tom'S Restaurant,400,4.4,100,35
Bangalore,Smoke House Deli,800,4.5,500,39
Chennai,Kim Ling,800,4.4,500,64
Delhi,Bombay Indianese Treat,300,2.9,80,61
Delhi,Chalte Firte Momos & Special Foods,200,3.8,100,36
Delhi,Patiala Shahi Chicken Corner,400,4.1,100,36
Delhi,Subway,350,4.1,500,53
Delhi,Pooran'S Ambala Wale,250,4,100,48
Delhi,Chit Chat,300,4.3,20,50
Kolkata,Aminia- Hatibagan,500,4.3,1000,50
Kolkata,Pizza Hut,350,4.1,1000,49
Kolkata,Hanglaatherium,350,4.3,500,84
Delhi,Bombay Bar-Be-Que,400,4.2,100,57
Hyderabad,Urban Munchies,150,2.9,80,42
Pune,Rk Pure Veg,300,3.8,500,62
Pune,Afc American Fried Chicken,300,4,100,65
Kolkata,Flurys Park Street,1000,4.5,100,45
Kolkata,The Wall,1300,4.1,100,75
Chennai,Grill Box,600,4.3,100,58
Mumbai,Brijwasi Sweets Original Since 1946,150,4.2,100,43
Bangalore,Pizza Hut,600,3.8,100,36
Kolkata,6 Ballygunge Place Ballygunge,1000,4.5,100,71
Hyderabad,Radisson Blu Plaza Delivery,1200,3.7,20,82
Kolkata,Arsalan Park Circus,700,4.3,1000,51
Hyderabad,Shahji Ka Dhaba,400,4.3,100,44
Mumbai,Gurukripa,500,4.3,100,50
Chennai,Basil With A Twist,1500,4.1,50,63
Pune,Kaveri,500,4.2,100,52
Pune,Indian Tadka - Taste Punjab Da,300,3.9,500,76
Kolkata,Wise Owl Steak House,1000,4,50,75
Mumbai,Hanuman Restaurant,700,4.5,100,45
Mumbai,Cocoon - Dragonfly Hotel,400,4.4,20,59
Chennai,Truly Scrumptious,350,4.5,50,69
Chennai,Midnight Masala,300,3.8,50,73
Hyderabad,Karachi Bakery Banjara,200,4.1,1000,56
Hyderabad,Desi Pizza,200,3.9,20,50
Pune,Khushboo,500,4.3,50,56
Chennai,Mainland China,850,4.3,500,72
Chennai,Kairali Kerala Mess,200,4.1,500,77
Mumbai,Cairo Grill,400,3.8,20,52
Hyderabad,Suruchi - The Family Restaurant,500,4.2,500,58
Kolkata,The 6 Russell Street,300,3.8,500,54
Chennai,Swiss Hutte,1200,2.9,80,50
Delhi,Grillz N Gravy,500,2.9,80,69
Kolkata,The Corner Courtyard,1100,3.6,20,73
Mumbai,Blisss,300,4.3,100,43
Mumbai,The Golden Wok,1200,4.2,50,48
Mumbai,Singh Saab,600,4.1,1000,50
Delhi,U.S. Burger Point,200,3.7,50,56
Hyderabad,Subway,350,4.3,500,33
Pune,The Garage Grill,400,4.3,100,67
Pune,Coconut Grove,1000,2.9,80,37
Bangalore,Portland Steak House,1500,4.1,50,45
Mumbai,J.J Jalebi,100,3.6,500,25
Kolkata,Flavours Of China,1000,4.5,100,67
Kolkata,One Step Up,800,4.6,100,61
Chennai,The Brew Room,700,4.7,50,56
Chennai,Hotel Millath,350,4.4,100,43
Chennai,Amadora Gourmet Ice Creams,300,4.7,500,36
Delhi,Pind Balluchi,400,3.8,100,40
Kolkata,Zeeshan Park Circus,400,4.1,500,63
Kolkata,Food Station College Street,500,4.5,50,39
Chennai,Pantry D'Or,850,4.2,100,65
Delhi,Chawla'S (Shalimar Bagh),400,4.2,50,64
Delhi,Berco'S,600,4.1,100,39
Hyderabad,Kritunga Restaurant,500,4,1000,49
Bangalore,Bistro Oui,800,4.2,100,59
Chennai,Kumarakom,450,4.3,500,57
Hyderabad,Cafe 555 & Aqeeq Restaurant,300,3.9,5000,46
Chennai,Frootster,150,4.1,100,63
Chennai,Mandarin Chinese Restaurant,350,4,500,55
Chennai,Rangi'S,500,4.3,100,53
Hyderabad,Shadab Go,500,4.1,1000,68
Kolkata,Haji Saheb Park Circus,800,4.2,500,54
Kolkata,The Sonnet,1200,2.9,80,67
Chennai,Little Italy,1200,4.3,500,48
Mumbai,Mr. Chows,800,4.4,100,41
Hyderabad,Eagles Pizza,150,3.7,500,32
Bangalore,Five Star Chicken,300,4.3,50,46
Chennai,Haagen Dazs,500,4.2,50,47
Chennai,Cafe De Paris,500,2.9,80,69
Chennai,Sushi In A Box,1500,4.4,100,64
Kolkata,New Punjabi Hotel Ajanta,300,4.2,1000,86
Pune,Shee Chinese,400,4.3,100,59
Mumbai,Cafe Coffee Day,300,3.9,50,61
Chennai,Le Wrap Factorie,200,4.4,20,57
Hyderabad,Rk Sweets And Juices,200,4.2,50,63
Chennai,Pedreno'S,1000,4.1,20,60
Chennai,Cafe Toastie Express,250,4.2,20,66
Kolkata,The Pind Punjabi Dhaba,500,4.3,500,75
Pune,The Fat And The Sexy Chef,500,3.9,20,78
Pune,The Bohemian Kitchen,300,4.5,100,73
Pune,One Way Paratha,250,4.3,100,73
Pune,Pizza & Soup,500,2.9,80,65
Pune,Sudit Su'S Chinese,350,4,100,59
Delhi,Hong Kong Express,450,4.3,100,50
